datetime,reference_datetime,site_id,family,parameter,variable,predicted,model_id
2021-09-27,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,0.2904556232052222,basic_arima
2021-10-04,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,0.7340911657900859,basic_arima
2021-10-11,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,1.225719431177485,basic_arima
2021-10-18,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,1.6184677859937664,basic_arima
2021-10-25,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,1.93222368871703,basic_arima
2021-11-01,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,2.1828746851794834,basic_arima
2021-09-27,2021-09-27,KONZ,ensemble,1,amblyomma_americanum,2.4879781748522802,basic_arima
2021-10-04,2021-09-27,KONZ,ensemble,1,amblyomma_americanum,6.7400151929178875,basic_arima
2021-10-11,2021-09-27,KONZ,ensemble,1,amblyomma_americanum,11.994487796690997,basic_arima
2021-10-18,2021-09-27,KONZ,ensemble,1,amblyomma_americanum,16.539246836748156,basic_arima
2021-10-25,2021-09-27,KONZ,ensemble,1,amblyomma_americanum,20.470152236721038,basic_arima
2021-11-01,2021-09-27,KONZ,ensemble,1,amblyomma_americanum,23.870116267232458,basic_arima
2021-09-27,2021-09-27,LENO,ensemble,1,amblyomma_americanum,1.0754929153791561,basic_arima
2021-10-04,2021-09-27,LENO,ensemble,1,amblyomma_americanum,2.7790069926139314,basic_arima
2021-10-11,2021-09-27,LENO,ensemble,1,amblyomma_americanum,4.751094409065934,basic_arima
2021-10-18,2021-09-27,LENO,ensemble,1,amblyomma_americanum,6.724545207079454,basic_arima
2021-10-25,2021-09-27,LENO,ensemble,1,amblyomma_americanum,8.518814694504893,basic_arima
2021-11-01,2021-09-27,LENO,ensemble,1,amblyomma_americanum,10.028351542802444,basic_arima
2021-09-27,2021-09-27,ORNL,ensemble,1,amblyomma_americanum,2.936981124002841,basic_arima
2021-10-04,2021-09-27,ORNL,ensemble,1,amblyomma_americanum,10.261235135994028,basic_arima
2021-10-11,2021-09-27,ORNL,ensemble,1,amblyomma_americanum,17.142495172000622,basic_arima
